Subject_ID,Year_Exposure,Role_Group,Actively_Recruited,Recruiter1,Loc_Habitation_State1,Loc_Habitation_City1,Country,lat,long
1000,2002,Follower,Recruited,Friend,Florida,Fort Lauderdale,United States,26.1223084,-80.1433786
1001,2001,Follower,NotRecruited,Not recruited,California,San Francisco,United States,37.7879363,-122.4075201
1002,1997,Leader,Recruited,Group member,California,Santa Ana,United States,33.7494951,-117.873221
1005,1993,Follower,Unknown,Unknown,New Jersey,Maplewood,United States,40.7312123,-74.2734808
1006,1993,Follower,Recruited,Friend,New Jersey,Jersey City,United States,40.7215682,-74.047455
1010,2003,Leader,Recruited,Group member,New York,New York,United States,40.7127281,-74.0060152
1012,2019,NoGroup,NotRecruited,Not recruited,California,Sunnyvale,United States,37.3688301,-122.036349
1013,2002,Follower,Recruited,Group member,New York,Lackawanna,United States,42.8257735,-78.823648
1014,2002,Follower,Recruited,Group member,New York,Lackawanna,United States,42.8257735,-78.823648
1015,2002,Follower,Unknown,Unknown,New York,Buffalo,United States,42.8864163,-78.8781493
1016,2002,Follower,Recruited,Group member,New York,Lackawanna,United States,42.8257735,-78.823648
1017,2002,Leader,Recruited,Friend,New York,Lackawanna,United States,42.8257735,-78.823648
1018,2002,Follower,Recruited,Other,New York,Lackawanna,United States,42.8257735,-78.823648
1019,2003,Associate,Recruited,Friend,Ohio,Columbus,United States,39.9622601,-83.0007065
1020,2004,Leader,NotRecruited,Not recruited,Virginia,Fairfax,United States,38.8462236,-77.3063733
1021,2003,Follower,Recruited,Other,District of Columbia,Washington,United States,38.8950982,-77.0363849
1022,2003,Leader,Recruited,Other,Virginia,Alexandria,United States,38.8051095,-77.0470229
1023,2003,Follower,Recruited,Other,Virginia,Fairfax,United States,38.8462236,-77.3063733
1024,2003,Follower,Recruited,Other,Virginia,Alexandria,United States,38.8051095,-77.0470229
1025,2003,Follower,Recruited,Other,Pennsylvania,Royersford,United States,40.184174,-75.5377894
1026,2003,Follower,Unknown,Unknown,Maryland,Suitland,United States,38.848724,-76.9238625
1027,2003,Leader,Recruited,Other,Maryland,Gaithersburg,United States,39.1399187,-77.1929215
1028,2003,Leader,Recruited,Other,Virginia,Alexandria,United States,38.8051095,-77.0470229
1029,2003,Follower,Unknown,Unknown,Virginia,Falls Church,United States,38.882334,-77.1710914
1031,2003,Associate,Unknown,Unknown,Virginia,Falls Church,United States,38.882334,-77.1710914
1035,2004,Follower,NotRecruited,Not recruited,New York,New York,United States,40.7127281,-74.0060152
1036,2004,Follower,NotRecruited,Not recruited,New York,New York,United States,40.7127281,-74.0060152
1039,2005,Follower,Recruited,Friend,California,Inglewood,United States,33.9562003,-118.353132
1040,2005,Follower,Recruited,Group member,California,Los Angeles,United States,34.0536909,-118.242766
1041,2005,Follower,Recruited,Friend,California,Los Angeles,United States,34.0536909,-118.242766
1042,2005,Follower,Recruited,Group member,California,Folsom,United States,38.6779591,-121.176058
1043,2005,Leader,NotRecruited,Not recruited,California,Folsom,United States,38.6779591,-121.176058
1045,2020,Follower,Unknown,Unknown,Texas,Tyler,United States,32.3512601,-95.3010624
1046,2006,Follower,Unknown,Unknown,Ohio,Toledo,United States,41.6529143,-83.5378173
1047,2019,Associate,NotRecruited,Not recruited,California,Reseda,United States,34.200768,-118.5356869
1048,2006,Unknown,NotRecruited,Not recruited,Georgia,Atlanta,United States,33.7544657,-84.3898151
1049,2006,Leader,Unknown,Unknown,Georgia,Roswell,United States,34.02332,-84.360022
1050,2006,Leader,NotRecruited,Not recruited,Florida,North Miami,United States,25.8900949,-80.1867138
1051,2006,Follower,Unknown,Unknown,Florida,Miami,United States,25.7741566,-80.1935973
1052,2006,Follower,Recruited,Other,Florida,Miami,United States,25.7741566,-80.1935973
1053,2006,Follower,Recruited,Other,Florida,Miami,United States,25.7741566,-80.1935973
1054,2006,Follower,Recruited,Other,Florida,Miami,United States,25.7741566,-80.1935973
1055,2006,Follower,Recruited,Other,Florida,Miami,United States,25.7741566,-80.1935973
1056,2006,Follower,Recruited,Other,Florida,Miami,United States,25.7741566,-80.1935973
1058,2007,Leader,Unknown,Unknown,New Jersey,Cherry Hill,United States,39.9348351,-75.0307264
1059,2007,Follower,NotRecruited,Not recruited,New Jersey,Cherry Hill,United States,39.9348351,-75.0307264
1061,2007,Follower,NotRecruited,Not recruited,New Jersey,Cherry Hill,United States,39.9348351,-75.0307264
1063,2007,Leader,Unknown,Unknown,New York,Brooklyn,United States,40.6526006,-73.9497211
1070,1995,Follower,Unknown,Unknown,Texas,-99,United States,32.9944454,-97.2295308
1074,1995,Follower,NotRecruited,Not recruited,Illinois,Chicago,United States,41.8755616,-87.6244212
1076,1993,NoGroup,NotRecruited,Not recruited,Virginia,Reston,United States,38.9587514,-77.3585955
1079,2005,Follower,Unknown,Unknown,Virginia,Falls Church,United States,38.882334,-77.1710914
1080,2004,Follower,NotRecruited,Not recruited,Washington,Fort Lewis,United States,47.1086912,-122.554979
1081,2002,Leader,NotRecruited,Not recruited,Oregon,Portland,United States,45.5202471,-122.674194
1082,2002,Follower,Recruited,Other,Oregon,Portland,United States,45.5202471,-122.674194
1083,2002,Follower,Recruited,Other,Oregon,Portland,United States,45.5202471,-122.674194
1084,2002,Follower,Recruited,Group member,Oregon,Portland,United States,45.5202471,-122.674194
1085,2002,Follower,NotRecruited,Not recruited,Oregon,Portland,United States,45.5202471,-122.674194
1087,2002,Follower,Recruited,Group member,Oregon,Portland,United States,45.5202471,-122.674194
1088,2006,Unknown,NotRecruited,Not recruited,Illinois,Genoa,United States,42.097248,-88.6928688
1089,2007,NoGroup,NotRecruited,Not recruited,Arizona,Phoenix,United States,33.4484367,-112.074141
1091,2007,Follower,Unknown,Unknown,Massachusetts,Brookline,United States,42.332918,-71.1187829
1093,2007,Follower,NotRecruited,Not recruited,Texas,Houston,United States,29.7589382,-95.3676974
1094,2004,Follower,Unknown,Unknown,New York,New York,United States,40.7127281,-74.0060152
1095,2005,Associate,NotRecruited,Not recruited,New York,New York,United States,40.7127281,-74.0060152
1096,2005,Follower,Recruited,Friend,Florida,Boca Raton,United States,26.3586885,-80.0830984
1097,2005,Follower,Recruited,Friend,New York,Beacon,United States,41.5048402,-73.9695409
1099,2001,Leader,Unknown,Unknown,Texas,Dallas,United States,32.7762719,-96.7968559
1100,2001,Follower,NotRecruited,Not recruited,Texas,Dallas,United States,32.7762719,-96.7968559
1101,2004,Leader,Recruited,Unknown,Texas,Dallas,United States,32.7762719,-96.7968559
1103,2001,Follower,Unknown,Unknown,Texas,Dallas,United States,32.7762719,-96.7968559
1104,2001,Follower,Unknown,Unknown,New Jersey,Paterson,United States,40.9167654,-74.171811
1105,2009,Leader,Unknown,Unknown,Michigan,Detroit,United States,42.3315509,-83.046640300000007
1106,2009,Follower,Recruited,Group member,New York,New York,United States,40.7127281,-74.0060152
1109,2009,Unknown,NotRecruited,Not recruited,Texas,Italy,United States,32.1840381,-96.8847194
1110,2009,Unknown,NotRecruited,Not recruited,Illinois,Decatur,United States,39.8454163,-88.9524151
1111,2008,Follower,NotRecruited,Not recruited,Massachusetts,Sudbury,United States,42.3834278,-71.4161725
1112,2008,Follower,Recruited,Family,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1113,2009,Follower,Unknown,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1114,2009,Follower,Recruited,Group member,Minnesota,Brooklyn Park,United States,45.1004807,-93.3443585
1115,2010,Leader,NotRecruited,Not recruited,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1116,2007,Follower,Unknown,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1117,2009,Follower,Recruited,Other,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1118,2008,Follower,Recruited,Other,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1119,2009,Follower,NotRecruited,Not recruited,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1120,2009,Follower,Recruited,Group member,Minnesota,Saint Paul,United States,44.9497487,-93.0931028
1121,2009,Follower,Recruited,Group member,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1122,2008,Follower,Unknown,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1123,2008,Follower,Unknown,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1124,2008,Follower,NotRecruited,Not recruited,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1125,2009,Follower,Unknown,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1126,2008,Associate,Recruited,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1127,2009,Follower,Recruited,Group member,Illinois,Chicago,United States,41.8755616,-87.6244212
1128,2009,Follower,Unknown,Unknown,Illinois,Chicago,United States,41.8755616,-87.6244212
1129,2010,Leader,Unknown,Unknown,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1130,2009,Leader,NotRecruited,Not recruited,Alabama,Daphne,United States,30.6035255,-87.9036047
1131,2009,Leader,Unknown,Unknown,California,San Diego,United States,32.7174202,-117.162772
1132,2009,Unknown,Unknown,Unknown,Minnesota,Rochester,United States,44.0234387,-92.4630182
1133,2019,Follower,Recruited,Group member,Virginia,Glade Spring,United States,36.791225,-81.7712324
1135,2011,Follower,Unknown,Unknown,Minnesota,Saint Paul,United States,44.9497487,-93.0931028
1136,1998,Follower,Unknown,Unknown,Georgia,Atlanta,United States,33.7544657,-84.3898151
1137,2007,Follower,Unknown,Unknown,North Carolina,Charlotte,United States,35.2272086,-80.8430827
1139,2010,Follower,Recruited,Group member,Pennsylvania,Pennsburg,United States,40.3909328,-75.4921249
1140,2010,Follower,Recruited,Group member,Colorado,Leadville,United States,39.2508229,-106.2925238
1141,2010,Follower,NotRecruited,Not recruited,Virginia,Fairfax,United States,38.8462236,-77.3063733
1142,2010,Follower,NotRecruited,Not recruited,Connecticut,Bridgeport,United States,41.1792695,-73.1887863
