Year_Exposure,Variable,Category,N
1948,Actively_Recruited,Recruited,1
1948,Role_Group,Leader,1
1949,Actively_Recruited,NotRecruited,1
1949,Actively_Recruited,Unknown,1
1949,Role_Group,Leader,2
1950,Actively_Recruited,NotRecruited,1
1950,Actively_Recruited,Unknown,2
1950,Role_Group,Follower,2
1950,Role_Group,Leader,1
1953,Actively_Recruited,Unknown,1
1953,Role_Group,Follower,1
1954,Actively_Recruited,NotRecruited,1
1954,Actively_Recruited,Unknown,4
1954,Role_Group,Follower,4
1955,Actively_Recruited,NotRecruited,1
1955,Actively_Recruited,Unknown,1
1955,Role_Group,Leader,1
1955,Role_Group,NoGroup,1
1957,Actively_Recruited,Unknown,1
1957,Role_Group,Leader,1
1958,Actively_Recruited,Unknown,1
1958,Role_Group,Leader,1
1959,Actively_Recruited,NotRecruited,1
1959,Role_Group,Leader,1
1961,Actively_Recruited,Recruited,1
1961,Actively_Recruited,Unknown,1
1961,Role_Group,Follower,1
1961,Role_Group,Leader,1
1963,Actively_Recruited,Recruited,1
1963,Actively_Recruited,Unknown,6
1963,Role_Group,Follower,3
1963,Role_Group,Leader,3
1964,Actively_Recruited,NotRecruited,1
1964,Actively_Recruited,Unknown,13
1964,Role_Group,Follower,9
1964,Role_Group,Leader,4
1964,Role_Group,NoGroup,1
1965,Actively_Recruited,NotRecruited,3
1965,Actively_Recruited,Recruited,1
1965,Actively_Recruited,Unknown,5
1965,Role_Group,Follower,5
1965,Role_Group,Leader,3
1966,Actively_Recruited,Unknown,11
1966,Role_Group,Follower,7
1966,Role_Group,Leader,4
1967,Actively_Recruited,NotRecruited,3
1967,Actively_Recruited,Recruited,2
1967,Actively_Recruited,Unknown,6
1967,Role_Group,Follower,5
1967,Role_Group,Leader,6
1968,Actively_Recruited,NotRecruited,11
1968,Actively_Recruited,Recruited,2
1968,Actively_Recruited,Unknown,7
1968,Role_Group,Associate,2
1968,Role_Group,Follower,7
1968,Role_Group,Leader,7
1968,Role_Group,NoGroup,2
1969,Actively_Recruited,NotRecruited,8
1969,Actively_Recruited,Recruited,1
1969,Actively_Recruited,Unknown,31
1969,Role_Group,Associate,1
1969,Role_Group,Follower,19
1969,Role_Group,Leader,19
1970,Actively_Recruited,NotRecruited,14
1970,Actively_Recruited,Recruited,3
1970,Actively_Recruited,Unknown,26
1970,Role_Group,Associate,3
1970,Role_Group,Follower,23
1970,Role_Group,Leader,8
1970,Role_Group,NoGroup,6
1971,Actively_Recruited,NotRecruited,6
1971,Actively_Recruited,Recruited,1
1971,Actively_Recruited,Unknown,21
1971,Role_Group,Associate,1
1971,Role_Group,Follower,15
1971,Role_Group,Leader,6
1971,Role_Group,NoGroup,1
1972,Actively_Recruited,NotRecruited,1
1972,Actively_Recruited,Unknown,6
1972,Role_Group,Follower,3
1972,Role_Group,Leader,2
1972,Role_Group,NoGroup,1
1973,Actively_Recruited,NotRecruited,10
1973,Actively_Recruited,Recruited,2
1973,Actively_Recruited,Unknown,8
1973,Role_Group,Associate,1
1973,Role_Group,Follower,8
1973,Role_Group,Leader,10
1973,Role_Group,NoGroup,1
1974,Actively_Recruited,NotRecruited,4
1974,Actively_Recruited,Recruited,4
1974,Actively_Recruited,Unknown,15
1974,Role_Group,Associate,1
1974,Role_Group,Follower,13
1974,Role_Group,Leader,9
1975,Actively_Recruited,NotRecruited,6
1975,Actively_Recruited,Recruited,2
1975,Actively_Recruited,Unknown,7
1975,Role_Group,Associate,2
1975,Role_Group,Follower,8
1975,Role_Group,Leader,3
1975,Role_Group,NoGroup,2
1976,Actively_Recruited,NotRecruited,3
1976,Actively_Recruited,Recruited,3
1976,Actively_Recruited,Unknown,15
1976,Role_Group,Follower,11
1976,Role_Group,Leader,5
1976,Role_Group,NoGroup,2
1977,Actively_Recruited,NotRecruited,6
1977,Actively_Recruited,Recruited,1
1977,Actively_Recruited,Unknown,11
1977,Role_Group,Associate,3
1977,Role_Group,Follower,4
1977,Role_Group,Leader,6
1977,Role_Group,NoGroup,5
1978,Actively_Recruited,Recruited,1
1978,Actively_Recruited,Unknown,7
1978,Role_Group,Follower,4
1978,Role_Group,Leader,2
1979,Actively_Recruited,NotRecruited,2
1979,Actively_Recruited,Unknown,9
1979,Role_Group,Follower,4
1979,Role_Group,Leader,6
1979,Role_Group,NoGroup,1
1980,Actively_Recruited,NotRecruited,7
1980,Actively_Recruited,Recruited,2
1980,Actively_Recruited,Unknown,23
1980,Role_Group,Associate,1
1980,Role_Group,Follower,18
1980,Role_Group,Leader,9
1980,Role_Group,NoGroup,1
1981,Actively_Recruited,NotRecruited,5
1981,Actively_Recruited,Recruited,2
1981,Actively_Recruited,Unknown,20
1981,Role_Group,Associate,1
1981,Role_Group,Follower,11
1981,Role_Group,Leader,12
1982,Actively_Recruited,NotRecruited,2
1982,Actively_Recruited,Recruited,1
1982,Actively_Recruited,Unknown,8
1982,Role_Group,Follower,5
1982,Role_Group,Leader,4
1983,Actively_Recruited,NotRecruited,7
1983,Actively_Recruited,Recruited,3
1983,Actively_Recruited,Unknown,18
1983,Role_Group,Associate,2
1983,Role_Group,Follower,13
1983,Role_Group,Leader,4
1983,Role_Group,NoGroup,4
1984,Actively_Recruited,NotRecruited,5
1984,Actively_Recruited,Recruited,13
1984,Actively_Recruited,Unknown,16
1984,Role_Group,Associate,2
1984,Role_Group,Follower,24
1984,Role_Group,Leader,6
1984,Role_Group,NoGroup,1
1985,Actively_Recruited,NotRecruited,9
1985,Actively_Recruited,Recruited,6
1985,Actively_Recruited,Unknown,31
1985,Role_Group,Associate,2
1985,Role_Group,Follower,30
1985,Role_Group,Leader,7
1985,Role_Group,NoGroup,2
1986,Actively_Recruited,NotRecruited,11
1986,Actively_Recruited,Recruited,4
1986,Actively_Recruited,Unknown,16
1986,Role_Group,Follower,18
1986,Role_Group,Leader,7
1986,Role_Group,NoGroup,4
1987,Actively_Recruited,NotRecruited,2
1987,Actively_Recruited,Recruited,2
1987,Actively_Recruited,Unknown,10
1987,Role_Group,Associate,1
1987,Role_Group,Follower,5
1987,Role_Group,Leader,3
1987,Role_Group,NoGroup,3
1988,Actively_Recruited,NotRecruited,8
1988,Actively_Recruited,Recruited,3
1988,Actively_Recruited,Unknown,8
1988,Role_Group,Associate,1
1988,Role_Group,Follower,6
1988,Role_Group,Leader,9
1988,Role_Group,NoGroup,1
1989,Actively_Recruited,NotRecruited,4
1989,Actively_Recruited,Unknown,7
1989,Role_Group,Follower,3
1989,Role_Group,Leader,3
1989,Role_Group,NoGroup,2
1990,Actively_Recruited,NotRecruited,2
1990,Actively_Recruited,Recruited,4
1990,Actively_Recruited,Unknown,5
1990,Role_Group,Associate,2
1990,Role_Group,Follower,3
1990,Role_Group,Leader,4
1990,Role_Group,NoGroup,1
1991,Actively_Recruited,NotRecruited,2
1991,Actively_Recruited,Unknown,11
1991,Role_Group,Associate,1
1991,Role_Group,Follower,4
1991,Role_Group,Leader,6
1991,Role_Group,NoGroup,1
1992,Actively_Recruited,NotRecruited,7
1992,Actively_Recruited,Recruited,2
1992,Actively_Recruited,Unknown,12
1992,Role_Group,Follower,4
1992,Role_Group,Leader,14
1992,Role_Group,NoGroup,2
1993,Actively_Recruited,NotRecruited,9
1993,Actively_Recruited,Recruited,3
1993,Actively_Recruited,Unknown,10
1993,Role_Group,Associate,3
1993,Role_Group,Follower,8
1993,Role_Group,Leader,9
1993,Role_Group,NoGroup,2
1994,Actively_Recruited,NotRecruited,11
1994,Actively_Recruited,Recruited,7
1994,Actively_Recruited,Unknown,7
1994,Role_Group,Associate,1
1994,Role_Group,Follower,11
1994,Role_Group,Leader,11
1994,Role_Group,NoGroup,2
1995,Actively_Recruited,NotRecruited,20
1995,Actively_Recruited,Recruited,7
