iyear,gname,attacks
1991,Kurdish Militants,5
1991,Neo-Nazi extremists,17
1992,Kurdish Militants,1
1992,Kurdistan Workers' Party (PKK),22
1992,Neo-Nazi extremists,104
1994,Kurdistan Workers' Party (PKK),14
1994,Neo-Nazi extremists,37
1995,Kurdistan Workers' Party (PKK),91
1995,Right-wing extremists,5
1996,Kurdish Militants,2
1996,National Socialist Underground,2
1996,Turkish Leftists,8
1997,Neo-Nazi extremists,2
1999,Neo-Nazi extremists,1
2000,National Socialist Underground,1
2000,Neo-Nazi extremists,2
2000,Right-wing extremists,1
2001,National Socialist Underground,4
2004,National Socialist Underground,2
2005,National Socialist Underground,2
2006,National Socialist Underground,2
2007,National Socialist Underground,1
2008,Neo-Nazi extremists,1
2011,Jihadi-inspired extremists,1
2015,Kurdistan Workers' Party (PKK),1
2015,Neo-Nazi extremists,1
2015,Right-wing extremists,6
2016,Jihadi-inspired extremists,8
2016,Kurdistan Workers' Party (PKK),2
2016,Neo-Nazi extremists,3
2016,Right-wing extremists,3
2017,Jihadi-inspired extremists,1
2017,Kurdistan Workers' Party (PKK),1
2017,Shutdown G20: Take Hamburg offline!,10
