NAME,BANNED,SCOPE,ORG,YEAR,GROUPS_NO,GROUPS_MEMS,HIGHER_MEMS,VIO_MEMS,VIO_MEM_DIFF,HIGHER_VIO_MEMS,VIO_FR_CRIME,FR_HOMOCIDES,FR_PROP_CRIME,LOCATION,REGION,LAT,LON,SIZE,ELECT_CAMPAIGN,CRIME_ASS,CRIME_ACTS,VIO_CRIME_ASS,129StGB,INTERNATIONAL_LINKS,BAN_LINK,APABIZ_SOURCES,NOTES,CLASS,VFS1990,VFS1991,VFS1992,VFS1993,VFS1994,VFS1995,VFS1996,VFS1997,VFS1998,VFS1999,VFS2000,VFS2001,VFS2002,VFS2003,VFS2004,VFS2005,VFS2006,VFS2007,VFS2008,VFS2009,VFS2010,VFS2011,VFS2012,VFS2013,VFS2014,VFS2015,VFS2016,VFS2017,VFS2018,VFS2019,VFS2020,VFS2021,VFS2022,FIRST,LAST,BAN_DATE,SHORT_NAME,BAN,VIO_LEVEL,VIO_LEVEL_1stYEAR,VIO_LEVEL_lastYEAR,RMEM_DIFF,HOM,PROP,LINK,NNOV,PARTY,YMON,BAN_LINKS,B_LINKS_AUTO,SPD_BMI,SPD_VFS,PROP_trendline,PROP_trend_diff
Neonationalsozialistenkreis um Curt Müller,0,regional,association,1990,69,32200,0,1400,0,,309,2,1031,Mainz,Rheinland-Pfalz,50.0012314,8.2762513,120 (1990),,,,,,1,Leader,,Curt and Ursula Müller,neo-Nazi,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-01,1991-01-01,,Ns-kreis um Curt Müller,0,309,309,309,0,1,1031,0.75,1,0,1,Leader,0.75,0,0,3427.784091,-2396.78409
Buerger- und Bauerninitiative (BBI),0,international,association,1990,69,32200,0,1400,0,,309,2,1031,,Denmark,,,,,,,,,1,Leader,"https://www.apabiz.de/archiv/material/Profile/Christophersen,%20Thies.htm","Thies Christophersen, fled abroad to avoid prosecution",neo-Nazi,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-01,1996-01-01,,Buerger- und Bauerninitiative,0,309,309,837,0,1,1031,0.75,1,0,6,Leader,0.75,0,0,3427.784091,-2396.78409
Deutsche Bürgerinitiative e.V. (DBI),0,regional,association,1990,69,32200,0,1400,0,,309,2,1031,Schwarzenborn,Hessen,50.9105494,9.4463009,,,1,,,,1,Leader,https://www.apabiz.de/archiv/material/Profile/DBI.htm,"Manfred Roeder, jailed for leading a terrorist group in 1982 (Deutsche Aktionsgruppen)",neo-Nazi,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-01,1999-01-01,,Deutsche Bürgerinitiative e.V.,0,309,309,708,0,1,1031,0.75,1,0,8,Leader,0.75,0,0,3427.784091,-2396.78409
Aktion Sauberes Deutschland (ASD),0,regional,association,1990,69,32200,0,1400,0,,309,2,1031,"Kaiserslautern, Grenzach","Rheinland-Pfalz, Baden-Württemberg",49.4432174,7.7689951,,,,,,,,Leader,https://www.apabiz.de/archiv/material/Profile/ASD.htm,led by Ernst Tag,neo-Nazi,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-01,1991-01-01,,Aktion Sauberes Deutschland,0,309,309,309,0,1,1031,0.75,1,0,1,Leader,0.75,0,0,3427.784091,-2396.78409
Nationaldemokratische Partei Deutschlands (NPD),0,national,party,1990,69,32200,0,1400,0,,309,2,1031,Berlin,Berlin,52.5170365,13.3888599,"3000 (2022), 3150 (2021), 3500 (2020), 3600 (2019), 4000 (2018), 4500 (2017), 5000 (2016), 5200 (2014), 5500 (2013), 6000 (2012), 6300 (2011), 6600 (2010), 6800 (2009), 7000 (2008), 72000 (2007), 7000 (2006), 6000 (2005), 5300 (2004), 5000 (2003), 6100 (2002), 6500 (2000), 6000 (1998), 4300 (1997), 3500 (1996), 4000 (1995), 4500 (1994), 5000 (1992), 6100 (1991), 6500 (1990)",YES,"YES: (VfS1994, p94), (VfS2000, pp74-75)",7 (1994),,,1,Members,,,national democrats (before 1993); Rechtsextremistische Partei (since 1993),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1990-01-01,2023-01-01,,Nationaldemokratische Partei Deutschlands ,0,309,309,1016,0,1,1031,0.25,0,1,33,Members,0.25,0,0,3427.784091,-2396.78409
Deutsche Volksunion (DVU),0,national,party,1990,69,32200,0,1400,0,,309,2,1031,München,Bayern,48.1371079,11.5753822,"0 (2012), 1000 (2011), 3000 (2010), 4500 (2009), 6000 (2008), 7000 (2007), 8500 (2006), 9000 (2005), 11000 (2004), 11500 (2003), 13000 (2002), 15000 (2001), 17000 (1999), 18000 (1998), 15000 (1995), 20000 (1994), 26000 (1992), 24000 (1991), 22000 (1990)",YES,"YES (VfS1994, pp86-87), (VfS1995, p112)",,YES,,1,Members,,"led by Gerhard Frey, led by Matthias Faust from 2010",national democrats (before 1993); Rechtsextremistische Partei (since 1993),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,yes,yes,,,,,,,,,,1990-01-01,2012-01-01,,Deutsche Volksunion,0,309,309,755,0,1,1031,0.25,0,1,22,Members,0.25,0,0,3427.784091,-2396.78409
Gesellschaft fuer Freie Publizistik (GFP),0,national,association,1992,82,41900,1,6400,2200,,2639,17,3125,Oberboihingen,Baden-Württemberg,48.6475985,9.3668947,"500 (2003), 450 (1997), 400 (1996), 500 (1995), 400 (1992)",,,,,,,None,https://www.apabiz.de/archiv/material/Profile/GFP.htm,"led by Rolf Kosiek, founded in 1960; close to NPD; yearly GfP Kongresse",sonstige rechtsextremistische Gruppen,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,yes,YES,,,,,,,1992-01-01,2017-01-01,,Gesellschaft fuer Freie Publizistik,0,2639,2639,1600,2200,1,3125,0,0,0,20,None,0,0,0,4167.889,-1042.88856
Deutsch Nationale Partei (DNP),0,national,association,1992,82,41900,1,6400,2200,,2639,17,3125,Wechselburg,Sachsen,51.0048471,12.7733471,50 (1992),,"YES: (VfS1992, p90)",,,,,Leader,https://www.apabiz.de/archiv/material/Profile/DNP.htm,led by Thomas Dienel,neo-Nazi,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-01,1993-01-01,,Deutsch Nationale Partei,0,2639,2639,2639,2200,1,3125,0.75,1,0,1,Leader,0.75,0,0,4167.889,-1042.88856
Wehrsportgruppe 'Werwolf Jagdeinheit Senftenberg',0,regional,association,1992,82,41900,1,6400,2200,,2639,17,3125,Senftenberg,Brandenburg,51.5191742,14.0046541,12,,"YES: (VfS1992, p90)",weapons possession,,,,Members,https://todesopfer-rechter-gewalt-in-brandenburg.de/wp-content/uploads/2021/11/beitrag-simone-wendler.pdf,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-01,1993-01-01,,WSG 'Werwolf Jagdeinheit Senftenberg',0,2639,2639,2639,2200,1,3125,0.25,1,0,1,Members,0.25,0,0,4167.889,-1042.88856
Spremberger Kameradschaft (SK),0,regional,association,1992,82,41900,1,6400,2200,,2639,17,3125,Spremberg,Sachsen,51.5714513,14.3804302,46,,"YES: (VfS1992, p90)",weapons possession,,,,Both,https://todesopfer-rechter-gewalt-in-brandenburg.de/timo-kaehlke/,connected to Deutsche Alternative (DA),,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-01,1993-01-01,,Spremberger Kameradschaft,0,2639,2639,2639,2200,1,3125,1,1,0,1,Both,1,0,0,4167.889,-1042.88856
